Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,null,null,null,null,null,null
2017-09-14,10107.400391,10126.500000,10070.349609,10086.599609,10086.599609,225600
2017-09-15,10062.349609,10115.150391,10043.650391,10085.400391,10085.400391,266600
2017-09-18,10133.099609,10171.700195,10131.299805,10153.099609,10153.099609,156100
2017-09-19,10175.599609,10178.950195,10129.950195,10147.549805,10147.549805,187500
2017-09-20,10160.950195,10171.049805,10134.200195,10141.150391,10141.150391,199400
2017-09-21,10139.599609,10158.900391,10058.599609,10121.900391,10121.900391,191800
2017-09-22,10094.349609,10095.049805,9952.799805,9964.400391,9964.400391,226600
2017-09-25,9960.099609,9960.500000,9816.049805,9872.599609,9872.599609,221400
2017-09-26,9875.250000,9891.349609,9813.000000,9871.500000,9871.500000,190900
2017-09-27,9920.599609,9921.049805,9714.400391,9735.750000,9735.750000,200100
2017-09-28,9736.400391,9789.200195,9687.549805,9768.950195,9768.950195,385000
2017-09-29,9814.299805,9854.000000,9775.349609,9788.599609,9788.599609,196300
2017-10-03,9893.299805,9895.400391,9831.049805,9859.500000,9859.500000,162800
2017-10-04,9884.349609,9938.299805,9850.650391,9914.900391,9914.900391,156200
2017-10-05,9927.000000,9945.950195,9881.849609,9888.700195,9888.700195,147800
2017-10-06,9908.150391,9989.349609,9906.599609,9979.700195,9979.700195,195800
2017-10-09,9988.200195,10015.750000,9959.450195,9988.750000,9988.750000,143900
2017-10-10,10013.700195,10034.000000,10002.299805,10016.950195,10016.950195,148600
2017-10-11,10042.599609,10067.250000,9955.799805,9984.799805,9984.799805,189700
2017-10-12,10011.200195,10104.450195,9977.099609,10096.400391,10096.400391,200900
2017-10-13,10123.700195,10191.900391,10120.099609,10167.450195,10167.450195,230100
2017-10-16,10207.400391,10242.950195,10175.099609,10230.849609,10230.849609,203000
2017-10-17,10227.650391,10251.849609,10212.599609,10234.450195,10234.450195,195700
2017-10-18,10209.400391,10236.450195,10175.750000,10210.849609,10210.849609,254200
2017-10-19,10210.349609,10211.950195,10123.349609,10146.549805,10146.549805,30200
2017-10-23,10176.650391,10224.150391,10124.500000,10184.849609,10184.849609,218100
2017-10-24,10218.549805,10237.750000,10182.400391,10207.700195,10207.700195,217200
2017-10-25,10321.150391,10340.549805,10240.900391,10295.349609,10295.349609,594200
2017-10-26,10291.799805,10355.650391,10271.849609,10343.799805,10343.799805,429700
2017-10-27,10362.299805,10366.150391,10311.299805,10323.049805,10323.049805,312700
2017-10-30,10353.849609,10384.500000,10344.299805,10363.650391,10363.650391,236900
2017-10-31,10364.900391,10367.700195,10323.950195,10335.299805,10335.299805,232600
2017-11-01,10390.349609,10451.650391,10383.049805,10440.500000,10440.500000,260300
2017-11-02,10440.500000,10453.000000,10412.549805,10423.799805,10423.799805,201500
2017-11-03,10461.549805,10461.700195,10403.599609,10452.500000,10452.500000,199900
2017-11-06,10431.750000,10490.450195,10413.750000,10451.799805,10451.799805,193600
2017-11-07,10477.150391,10485.750000,10340.799805,10350.150391,10350.150391,286900
2017-11-08,10361.950195,10384.250000,10285.500000,10303.150391,10303.150391,274500
2017-11-09,10358.650391,10368.450195,10266.950195,10308.950195,10308.950195,240200
2017-11-10,10304.349609,10344.950195,10254.099609,10321.750000,10321.750000,279400
2017-11-13,10322.000000,10334.150391,10216.250000,10224.950195,10224.950195,210300
2017-11-14,10223.400391,10248.000000,10175.549805,10186.599609,10186.599609,305000
2017-11-15,10171.950195,10175.450195,10094.000000,10118.049805,10118.049805,207400
2017-11-16,10152.900391,10232.250000,10139.200195,10214.750000,10214.750000,182600
2017-11-17,10324.549805,10343.599609,10268.049805,10283.599609,10283.599609,203300
2017-11-20,10287.200195,10309.849609,10261.500000,10298.750000,10298.750000,147200
2017-11-21,10329.250000,10358.700195,10315.049805,10326.900391,10326.900391,186100
2017-11-22,10350.799805,10368.700195,10309.549805,10342.299805,10342.299805,157600
2017-11-23,10358.450195,10374.299805,10307.299805,10348.750000,10348.750000,153000
2017-11-24,10366.799805,10404.500000,10362.250000,10389.700195,10389.700195,129200
2017-11-27,10361.049805,10407.150391,10340.200195,10399.549805,10399.549805,141900
2017-11-28,10387.900391,10409.549805,10355.200195,10370.250000,10370.250000,196000
2017-11-29,10376.650391,10392.950195,10345.900391,10361.299805,10361.299805,152500
2017-11-30,10332.700195,10332.700195,10211.250000,10226.549805,10226.549805,342500
2017-12-01,10263.700195,10272.700195,10108.549805,10121.799805,10121.799805,143400
2017-12-04,10175.049805,10179.200195,10095.700195,10127.750000,10127.750000,148600
2017-12-05,10118.250000,10147.950195,10069.099609,10118.250000,10118.250000,155500
2017-12-06,10088.799805,10104.200195,10033.349609,10044.099609,10044.099609,166100
2017-12-07,10063.450195,10182.650391,10061.900391,10166.700195,10166.700195,166200
2017-12-08,10198.450195,10270.849609,10195.250000,10265.650391,10265.650391,200000
2017-12-11,10310.500000,10329.200195,10282.049805,10322.250000,10322.250000,147400
2017-12-12,10324.900391,10326.099609,10230.200195,10240.150391,10240.150391,175100
2017-12-13,10236.599609,10296.549805,10169.849609,10192.950195,10192.950195,181600
2017-12-14,10229.299805,10276.099609,10141.549805,10252.099609,10252.099609,154300
2017-12-15,10345.650391,10373.099609,10319.650391,10333.250000,10333.250000,255100
2017-12-18,10263.099609,10443.549805,10074.799805,10388.750000,10388.750000,230400
2017-12-19,10414.799805,10472.200195,10406.000000,10463.200195,10463.200195,169100
2017-12-20,10494.400391,10494.450195,10437.150391,10444.200195,10444.200195,175200
2017-12-21,10473.950195,10473.950195,10426.900391,10440.299805,10440.299805,151900
2017-12-22,10457.299805,10501.099609,10448.250000,10493.000000,10493.000000,138800
2017-12-26,10512.299805,10545.450195,10477.950195,10531.500000,10531.500000,155600
2017-12-27,10531.049805,10552.400391,10469.250000,10490.750000,10490.750000,165200
2017-12-28,10498.200195,10534.549805,10460.450195,10477.900391,10477.900391,272900
2017-12-29,10492.349609,10538.700195,10488.650391,10530.700195,10530.700195,152000
2018-01-01,null,null,null,null,null,null
2018-01-02,10477.549805,10495.200195,10404.650391,10442.200195,10442.200195,153400
2018-01-03,10482.650391,10503.599609,10429.549805,10443.200195,10443.200195,167300
2018-01-04,10469.400391,10513.000000,10441.450195,10504.799805,10504.799805,174900
2018-01-05,10534.250000,10566.099609,10520.099609,10558.849609,10558.849609,180900
2018-01-08,10591.700195,10631.200195,10588.549805,10623.599609,10623.599609,169000
2018-01-09,10645.099609,10659.150391,10603.599609,10637.000000,10637.000000,205000
2018-01-10,10652.049805,10655.500000,10592.700195,10632.200195,10632.200195,176400
2018-01-11,10637.049805,10664.599609,10612.349609,10651.200195,10651.200195,153800
2018-01-12,10682.549805,10690.400391,10597.099609,10681.250000,10681.250000,175200
2018-01-15,10718.500000,10782.650391,10713.799805,10741.549805,10741.549805,175900
2018-01-16,10761.500000,10762.349609,10687.849609,10700.450195,10700.450195,211000
2018-01-17,10702.450195,10803.000000,10666.750000,10788.549805,10788.549805,252700
2018-01-18,10873.400391,10887.500000,10782.400391,10817.000000,10817.000000,312000
2018-01-19,10829.200195,10906.849609,10793.900391,10894.700195,10894.700195,207600
2018-01-22,10883.200195,10975.099609,10881.400391,10966.200195,10966.200195,231600
2018-01-23,10997.400391,11092.900391,10994.549805,11083.700195,11083.700195,284600
2018-01-24,11069.349609,11110.099609,11046.150391,11086.000000,11086.000000,283400
2018-01-25,11095.599609,11095.599609,11009.200195,11069.650391,11069.650391,330300
2018-01-29,11079.349609,11171.549805,11075.950195,11130.400391,11130.400391,241700
2018-01-30,11120.849609,11121.099609,11033.900391,11049.650391,11049.650391,228000
2018-01-31,11018.799805,11058.500000,10979.299805,11027.700195,11027.700195,245900
2018-02-01,11044.549805,11117.349609,10878.799805,11016.900391,11016.900391,306200
2018-02-02,10938.200195,10954.950195,10736.099609,10760.599609,10760.599609,282700
