,A,B,C,D,Return,Beta,Risk,SharpeRatio,TreynorRatio,InformationRatio,DownRisk,SortioRatio,Efficient
0,LT,ICICIBANK,EICHERMOT,HDFC,0.04111569265155349,1.1212641712197078,0.00973169117123449,-2.8653095189527393,-0.02486863315904766,-10.54659306831761,0.005538812851363892,-5.034347268400703,4.22492780834288
1,LT,ICICIBANK,EICHERMOT,WIPRO,0.06925025311802846,0.8243491878014693,0.008850275952661826,0.028276306791675504,0.00030357659318604586,-8.41800036310361,0.005370309526071841,0.046599384414161275,7.82464337704641
2,LT,ICICIBANK,EICHERMOT,SUNPHARMA,0.10356627540817621,1.088192355428859,0.01127043326318982,3.066987275553333,0.03176485778063894,-3.5655775562929066,0.00679522927446056,5.086844609951775,9.189200893139782
3,LT,ICICIBANK,EICHERMOT,ITC,0.05664878386622404,1.022253763577307,0.009444627298351927,-1.3077505065690878,-0.012082338626520419,-9.2225021362228,0.005872736844023781,-2.103144830394507,5.997990399908016
4,LT,ICICIBANK,EICHERMOT,VIDEOIND,-0.6081576778790196,0.8505796808430789,0.01632633810780722,-41.476396814004744,-0.7961131603894339,-46.055003407075155,0.008721789851651833,-77.63976080560708,-37.250096982139546
5,LT,ICICIBANK,EICHERMOT,HINDZINC,1.1490854343726258e-05,1.1561056709374653,0.011253003615137473,-6.130675107297873,-0.05967318635303877,-12.773513042633382,0.006459707302189797,-10.67981967577225,0.0010211366437551685
6,LT,ICICIBANK,EICHERMOT,TCS,-0.06773894609658149,0.5155363024131179,0.01948051087591922,-7.019269000055382,-0.26523630917267127,-10.856533832442668,0.005434738772944077,-25.16016901811603,-3.4772674355433257
7,LT,ICICIBANK,HDFC,EICHERMOT,0.023860953376671747,1.0905204783592994,0.010016324774188904,-4.5065478247717365,-0.04139220447399619,-11.969552568161367,0.005775038718717983,-7.816232725336394,2.382206439447641
8,LT,ICICIBANK,HDFC,WIPRO,0.12101447094267367,0.9165802663826952,0.008366224765987012,6.217197409534003,0.056748408023172874,-2.717762072430614,0.004908137158248969,10.597599306134793,14.464644965631269
9,LT,ICICIBANK,HDFC,SUNPHARMA,0.15533049323282144,1.180423434010085,0.010919883524088713,7.905807149167911,0.073135190936987,1.0603239408347844,0.006482046648091514,13.318400486710386,14.224555865469645
